position,rank,patent_id,serpapi_link,title,priority_date,filing_date,grant_date,publication_date,inventor,assignee,publication_number,language,thumbnail,pdf,page
3,2,patent/US11513187B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11513187B2%2Fen,FMCW automotive radar incorporating modified slow time processing of fine range …,2018-05-07,2019-05-06,2022-11-29,2022-11-29,Yoram Stettiner,Arbe Robotics Ltd.,US11513187B2,en,https://patentimages.storage.googleapis.com/94/12/ea/9ac5054eb9558a/US11513187-20221129-D00000.png,https://patentimages.storage.googleapis.com/05/22/4b/1821e57167d520/US11513187B2.pdf,2.0
4,3,patent/US11462061B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11462061B2%2Fen,Systems and methods for use of diagnostic scan tool in automotive collision …,2016-04-19,2019-11-07,2022-10-04,2022-10-04,John Joseph Rozint,"Mitchell International, Inc.",US11462061B2,en,https://patentimages.storage.googleapis.com/92/57/6f/b35db7c6c89eca/US11462061-20221004-D00000.png,https://patentimages.storage.googleapis.com/4f/65/53/6d4e1f919ff530/US11462061.pdf,2.0
5,4,patent/US11038363B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11038363B2%2Fen,"Battery system to be implemented in an automotive vehicle, wake-up control unit …",2014-09-30,2018-07-20,2021-06-15,2021-06-15,Ronald J. Dulle,Cps Technology Holdings Llc,US11038363B2,en,https://patentimages.storage.googleapis.com/3d/14/81/ab0cc8849e098f/US11038363-20210615-D00000.png,https://patentimages.storage.googleapis.com/92/c1/b6/4f3f2d88ae7026/US11038363.pdf,2.0
6,5,patent/EP3835810B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FEP3835810B1%2Fen,Method and system for frequency offset modulation range division mimo automotive …,2019-12-09,2020-11-16,2024-02-21,2024-02-21,Ryan Haoyun Wu,"NXP USA, Inc.",EP3835810B1,en,https://patentimages.storage.googleapis.com/6b/c8/50/2981f468fd4a91/imgf0001.png,https://patentimages.storage.googleapis.com/37/5f/99/70f3993e1566d5/EP3835810B1.pdf,2.0
7,6,patent/US20200362610A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20200362610A1%2Fen,Multiple piece construction automotive door hinge,2006-07-10,2020-06-03,,2020-11-19,Robert John Murray,Multimatic Inc.,US20200362610A1,en,https://patentimages.storage.googleapis.com/49/6c/de/4154612a827e27/US20200362610A1-20201119-D00000.png,https://patentimages.storage.googleapis.com/6c/4b/35/d1f5d0287fb82b/US20200362610A1.pdf,2.0
8,7,patent/DE102018104723B4/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FDE102018104723B4%2Fen,AN AUTOMOTIVE STRUCTURE COMPONENT AND METHOD OF MANUFACTURE,2017-03-03,2018-03-01,2022-05-19,2022-05-19,Justin C. Martin,GM Global Technology Operations LLC,DE102018104723B4,en,https://patentimages.storage.googleapis.com/3d/32/8a/f872d4e64d36d2/DE102018104723B4_0001.png,https://patentimages.storage.googleapis.com/62/c2/05/c197f87016d58a/DE102018104723B4.pdf,2.0
9,8,patent/US11231499B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11231499B2%2Fen,Distance detecting systems for use in automotive applications including gallium …,2017-12-13,2020-02-06,2022-01-25,2022-01-25,James W. RARING,"Kyocera Sld Laser, Inc.",US11231499B2,en,https://patentimages.storage.googleapis.com/3d/7e/33/058508882f37a7/US11231499-20220125-D00000.png,https://patentimages.storage.googleapis.com/8d/6f/77/051617bc7d91ff/US11231499.pdf,2.0
10,9,patent/US11627444B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11627444B2%2Fen,Vehicle-to-everything session and service continuity in automotive edge …,2018-06-06,2019-06-05,2023-04-11,2023-04-11,Leifeng Ruan,Intel Corporation,US11627444B2,en,https://patentimages.storage.googleapis.com/cb/03/28/1b15c1a93040e8/US11627444-20230411-D00000.png,https://patentimages.storage.googleapis.com/8a/f3/0b/c6424bde64f397/US11627444.pdf,2.0
1,0,patent/US10682969B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10682969B2%2Fen,Power management systems for automotive video event recorders,2006-11-07,2018-07-12,2020-06-16,2020-06-16,James Plante,"Smartdrive Systems, Inc.",US10682969B2,en,https://patentimages.storage.googleapis.com/44/20/2f/3e52f401684036/US10682969-20200616-D00000.png,https://patentimages.storage.googleapis.com/a0/17/02/0fac057c4819ac/US10682969.pdf,3.0
2,1,patent/US10416490B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10416490B2%2Fen,Curved display and automotive device,2016-03-30,2018-07-31,2019-09-17,2019-09-17,Masafumi Hirata,"Panasonic Liquid Crystal Display Co., Ltd.",US10416490B2,en,https://patentimages.storage.googleapis.com/27/bf/12/8af07c6925748a/US10416490-20190917-D00000.png,https://patentimages.storage.googleapis.com/37/bd/c4/07a6938654ea44/US10416490.pdf,3.0
3,2,patent/JP7224473B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP7224473B2%2Fen,Automotive Windshield Adhesive Dispensing System,2019-03-11,2020-02-20,2023-02-17,2023-02-17,徳志 劉,広汽本田汽車有限公司,JP7224473B2,en,https://patentimages.storage.googleapis.com/c5/e9/fe/2cd67d23145205/0007224473000001.png,https://patentimages.storage.googleapis.com/f3/8f/f0/57b87d98c122bf/JP7224473B2.pdf,3.0
4,3,patent/US10737578B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10737578B2%2Fen,Semi-active partial parallel battery architecture for an automotive vehicle …,2014-11-14,2018-05-14,2020-08-11,2020-08-11,Bryan L. Thieme,Cps Technology Holdings Llc,US10737578B2,en,https://patentimages.storage.googleapis.com/b9/d7/63/41b72cbd51c047/US10737578-20200811-D00000.png,https://patentimages.storage.googleapis.com/77/db/c9/9f55de74fc20c3/US10737578.pdf,3.0
5,4,patent/JP6686187B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP6686187B2%2Fen,… thin nozzle assembly and compact fluid circuit as an integrated automotive …,2014-04-11,2019-01-07,2020-04-22,2020-04-22,ラッセル・へスター,ディエルエイチ・ボウルズ・インコーポレイテッドｄｌｈＢＯＷＬＥＳ Ｉｎｃ．,JP6686187B2,en,https://patentimages.storage.googleapis.com/87/c7/42/9bba5ad74b6df8/0006686187-2.png,https://patentimages.storage.googleapis.com/85/52/0d/bf41dd5a327753/JP6686187B2.pdf,3.0
6,5,patent/US10586217B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10586217B2%2Fen,Automotive ECU mobile phone interface,2006-06-13,2018-03-27,2020-03-10,2020-03-10,Hendalee Wilson,"Cell Assist, LLC",US10586217B2,en,https://patentimages.storage.googleapis.com/0e/cc/6b/12d833476889ac/US10586217-20200310-D00000.png,https://patentimages.storage.googleapis.com/72/90/4b/891a99e85331ca/US10586217.pdf,3.0
7,6,patent/US10984512B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10984512B2%2Fen,Method of providing automotive around view image using machine learning model,2018-07-09,2019-07-02,2021-04-20,2021-04-20,Hyun-Min JANG,Hyun-Min JANG,US10984512B2,en,https://patentimages.storage.googleapis.com/ce/99/55/ffb316468794c1/US10984512-20210420-D00000.png,https://patentimages.storage.googleapis.com/f9/a2/41/c67e3db6fafb68/US10984512.pdf,3.0
8,7,patent/US10846166B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10846166B2%2Fen,Temporal anomaly detection on automotive networks,2014-12-30,2018-08-22,2020-11-24,2020-11-24,Anuja Sonalker,Batttelle Memorial Institute,US10846166B2,en,https://patentimages.storage.googleapis.com/0f/e5/cd/0da12b9d27702d/US10846166-20201124-D00000.png,https://patentimages.storage.googleapis.com/34/8d/fc/ff7e2f2a4b9bbc/US10846166.pdf,3.0
9,8,patent/US11391428B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11391428B2%2Fen,Pixelated projection for automotive headlamp,2014-06-26,2021-04-07,2022-07-19,2022-07-19,Vikrant R. Bhakta,Texas Instruments Incorporated,US11391428B2,en,https://patentimages.storage.googleapis.com/82/4e/a5/5d4873f8b55657/US11391428-20220719-D00000.png,https://patentimages.storage.googleapis.com/90/bf/07/a5f3c755c53837/US11391428.pdf,3.0
10,9,patent/CN109117560B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN109117560B%2Fen,… dimensional process design method and platform for machining parts of automotive …,2018-08-17,2018-08-17,2020-03-31,2020-03-31,徐劲力,武汉理工大学,CN109117560B,en,https://patentimages.storage.googleapis.com/c0/46/b2/7e644d4ea54766/HDA0001768809800000011.png,https://patentimages.storage.googleapis.com/f0/79/c4/273aafd2154e41/CN109117560B.pdf,3.0
1,0,patent/US11853863B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11853863B2%2Fen,Predictive maintenance of automotive tires,2019-08-12,2019-08-12,2023-12-26,2023-12-26,Robert Richard Noel Bielby,"Micron Technology, Inc.",US11853863B2,en,https://patentimages.storage.googleapis.com/16/bc/c5/b6b3c5fe9fcb5c/US11853863-20231226-D00000.png,https://patentimages.storage.googleapis.com/65/0e/bd/8507de87ddd7a5/US11853863.pdf,4.0
2,1,patent/US10960838B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10960838B2%2Fen,Multi-sensor data fusion for automotive systems,2019-01-30,2020-01-30,2021-03-30,2021-03-30,Rana June Sobhany,Cobalt Industries Inc.,US10960838B2,en,https://patentimages.storage.googleapis.com/75/49/c2/711c22f3383d4e/US10960838-20210330-D00000.png,https://patentimages.storage.googleapis.com/84/cd/7b/5347c82ab08e02/US10960838.pdf,4.0
3,2,patent/US10947677B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10947677B2%2Fen,"Automotive milling machine, as well as method for unloading milled material",2012-08-23,2019-08-21,2021-03-16,2021-03-16,Christian Berning,Wirtgen Gmbh,US10947677B2,en,https://patentimages.storage.googleapis.com/35/6f/06/c6629a48d5d54b/US10947677-20210316-D00000.png,https://patentimages.storage.googleapis.com/01/76/66/574464827337d4/US10947677.pdf,4.0
4,3,patent/KR102032475B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FKR102032475B1%2Fen,Providing a communications channel between instances of automated assistants,2018-05-23,2019-05-15,2019-10-15,2019-10-15,알렉산드르 말트세브,구글 엘엘씨,KR102032475B1,en,https://patentimages.storage.googleapis.com/4a/98/1e/478db35e842239/112019060494108-pat00001.png,https://patentimages.storage.googleapis.com/35/33/9d/b33e1d49089eea/KR102032475B1.pdf,4.0
5,4,patent/US11269049B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11269049B2%2Fen,Distributed aperture automotive radar system,2019-03-18,2019-03-18,2022-03-08,2022-03-08,Ryan H. Wu,"Nxp Usa, Inc.",US11269049B2,en,https://patentimages.storage.googleapis.com/a4/47/ec/013c528b6a8d18/US11269049-20220308-D00000.png,https://patentimages.storage.googleapis.com/af/71/d6/940c81ce17508e/US11269049.pdf,4.0
6,5,patent/USD906888S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD906888S1%2Fen,Automotive vehicle exterior body,2019-02-01,2019-02-01,2021-01-05,2021-01-05,Carlos Eduardo Satulovsky,"ElATiON HYPERCARS, INC.",USD906888S1,en,https://patentimages.storage.googleapis.com/65/75/34/2747d0c771cf8c/USD0906888-20210105-D00000.png,https://patentimages.storage.googleapis.com/0e/0c/9a/039b9e24c47ac0/USD906888.pdf,4.0
7,6,patent/US20210222474A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210222474A1%2Fen,Automotive door power assist,2015-07-29,2021-04-02,,2021-07-22,Larry Dean Elie,"Ford Global Technologies, Llc",US20210222474A1,en,https://patentimages.storage.googleapis.com/46/9b/d3/1d3da8ccffc748/US20210222474A1-20210722-D00000.png,https://patentimages.storage.googleapis.com/05/56/5f/305dee66e06bcf/US20210222474A1.pdf,4.0
8,7,patent/US20230368577A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20230368577A1%2Fen,Automotive and industrial motion sensory device,2014-08-15,2023-07-24,,2023-11-16,David S. HOLZ,Ultrahaptics IP Two Limited,US20230368577A1,en,https://patentimages.storage.googleapis.com/b1/4a/19/ed3e26b278e4a8/US20230368577A1-20231116-D00000.png,https://patentimages.storage.googleapis.com/a3/11/d9/a8893077c49076/US20230368577A1.pdf,4.0
9,8,patent/JP6609005B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP6609005B2%2Fen,Automotive and automotive programs,2014-04-01,2018-07-09,2019-11-20,2019-11-20,將洋 鈴木,みこらった株式会社,JP6609005B2,en,https://patentimages.storage.googleapis.com/db/93/d4/94d3f72ee7fb5d/0006609005-2.png,https://patentimages.storage.googleapis.com/b9/76/fc/1d7ba34a3ad326/JP6609005B2.pdf,4.0
10,9,patent/US11232110B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11232110B2%2Fen,Natural language keyword tag extraction,2019-08-23,2019-08-23,2022-01-25,2022-01-25,Micah Price,"Capital One Services, Llc",US11232110B2,en,https://patentimages.storage.googleapis.com/47/38/f1/574ee2a9d44a6f/US11232110-20220125-D00000.png,https://patentimages.storage.googleapis.com/7e/1b/60/4ee52ce890b2e6/US11232110.pdf,4.0
1,0,patent/US11572024B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11572024B2%2Fen,Automotive laminate with superior camera window,2017-03-31,2021-03-20,2023-02-07,2023-02-07,Mario Arturo Mannheim Astete,Agp America S.A.,US11572024B2,en,https://patentimages.storage.googleapis.com/9f/04/ec/672827b24f895e/US11572024-20230207-D00000.png,https://patentimages.storage.googleapis.com/9f/c4/68/d8b52f87ad25cf/US11572024.pdf,5.0
2,1,patent/US20210253471A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210253471A1%2Fen,"Automotive glass compositions, articles and hybrid laminates",2017-06-22,2021-05-06,,2021-08-19,Timothy Michael Gross,Corning Incorporated,US20210253471A1,en,https://patentimages.storage.googleapis.com/2f/cb/ae/53180515b0cc74/US20210253471A1-20210819-D00000.png,https://patentimages.storage.googleapis.com/8a/1d/25/c591ba5eaedb7f/US20210253471A1.pdf,5.0
3,2,patent/US11821981B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11821981B2%2Fen,Software defined automotive radar,2016-04-07,2023-03-28,2023-11-21,2023-11-21,Curtis Davis,"Uhnder, Inc.",US11821981B2,en,https://patentimages.storage.googleapis.com/7c/28/d8/6c7b9cd96cc1b5/US11821981-20231121-D00000.png,https://patentimages.storage.googleapis.com/aa/d8/00/e75bcbc3c95275/US11821981.pdf,5.0
4,3,patent/US11546448B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11546448B2%2Fen,System and method for data compression based on data position in frames …,2019-01-20,2022-03-19,2023-01-03,2023-01-03,Avraham Entelis,Arilou Information Security Technologies Ltd.,US11546448B2,en,https://patentimages.storage.googleapis.com/fe/30/22/af1f5b4d126867/US11546448-20230103-D00000.png,https://patentimages.storage.googleapis.com/b9/d4/4b/eb08c89e82f29f/US11546448.pdf,5.0
5,4,patent/US11129312B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11129312B2%2Fen,Electronic module for use in an automotive vehicle,2017-11-20,2018-11-14,2021-09-21,2021-09-21,Darin Grinsteinner,Ticona Llc,US11129312B2,en,https://patentimages.storage.googleapis.com/b5/c6/5a/55910752480477/US11129312-20210921-D00000.png,https://patentimages.storage.googleapis.com/39/b0/69/10dbc3cf07a4b1/US11129312.pdf,5.0
6,5,patent/US11906620B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11906620B2%2Fen,Software defined automotive radar systems,2016-04-07,2021-08-06,2024-02-20,2024-02-20,Curtis Davis,"Uhnder, Inc.",US11906620B2,en,https://patentimages.storage.googleapis.com/2a/2f/f8/aa6044e80d076f/US11906620-20240220-D00000.png,https://patentimages.storage.googleapis.com/59/2d/a3/7579fb401746e3/US11906620.pdf,5.0
7,6,patent/US10640040B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10640040B2%2Fen,Vision system for vehicle,2011-11-28,2018-09-10,2020-05-05,2020-05-05,Joern Ihlenburg,Magna Electronics Inc.,US10640040B2,en,https://patentimages.storage.googleapis.com/8f/be/71/5e3cd6546cb6fd/US10640040-20200505-D00000.png,https://patentimages.storage.googleapis.com/57/63/1c/bdbae5b461e8af/US10640040.pdf,5.0
8,7,patent/US20210350237A1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS20210350237A1%2Fen,System and Method for using Signal Waveform Analysis for Detecting a Change in …,2016-12-07,2021-06-28,,2021-11-11,Gil Litichever,Arilou Information Security Technologies Ltd.,US20210350237A1,en,https://patentimages.storage.googleapis.com/52/e9/13/435795a757dd32/US20210350237A1-20211111-D00000.png,https://patentimages.storage.googleapis.com/55/14/1d/8e733466ed72ce/US20210350237A1.pdf,5.0
9,8,patent/US11288731B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11288731B2%2Fen,Personalized car recommendations based on customer web traffic,2019-12-27,2020-08-28,2022-03-29,2022-03-29,Micah Price,"Capital One Services, Llc",US11288731B2,en,https://patentimages.storage.googleapis.com/c9/5d/3a/d94deca80a2284/US11288731-20220329-D00000.png,https://patentimages.storage.googleapis.com/9c/b2/62/b806cb2ae6191c/US11288731.pdf,5.0
10,9,patent/JP6859505B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FJP6859505B2%2Fen,"Image-based vehicle damage determination methods, devices and electronic …",2017-04-11,2018-04-11,2021-04-14,2021-04-14,ハイタオ・ジャン,アドバンスド ニュー テクノロジーズ カンパニー リミテッド,JP6859505B2,en,https://patentimages.storage.googleapis.com/c0/78/78/0fa46466678ea0/0006859505-2.png,https://patentimages.storage.googleapis.com/b7/29/0a/19225daf74eeb0/JP6859505B2.pdf,5.0
1,0,patent/USD964258S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD964258S1%2Fen,Automotive interior receptacle,2022-05-18,2022-05-18,2022-09-20,2022-09-20,Xin Tian,"Shenzhen Zhengtu Auto Accessories Co., Ltd.",USD964258S1,en,https://patentimages.storage.googleapis.com/9f/5f/fd/171def75df8042/USD0964258-20220920-D00000.png,https://patentimages.storage.googleapis.com/36/22/5e/3d93ae1e75d1af/USD964258.pdf,6.0
2,1,patent/USD964259S1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUSD964259S1%2Fen,Automotive interior receptacle,2022-05-18,2022-05-18,2022-09-20,2022-09-20,Xin Tian,"Shenzhen Zhengtu Auto Accessories Co., Ltd.",USD964259S1,en,https://patentimages.storage.googleapis.com/45/81/47/d73ebaadb4017a/USD0964259-20220920-D00000.png,https://patentimages.storage.googleapis.com/a7/67/3f/7a69f7eaa6d499/USD964259.pdf,6.0
3,2,patent/US10439192B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10439192B2%2Fen,Architectures for batteries having two different chemistries,2013-07-31,2018-08-27,2019-10-08,2019-10-08,Perry M. Wyatt,Cps Technology Holdings Llc,US10439192B2,en,https://patentimages.storage.googleapis.com/48/b5/15/4288679f07ee8d/US10439192-20191008-D00000.png,https://patentimages.storage.googleapis.com/3d/b7/24/202f5dec7c72db/US10439192.pdf,6.0
4,3,patent/KR102335499B1/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FKR102335499B1%2Fen,Automotive MIMO Radar Sensors,2016-12-14,2017-10-19,2021-12-07,2021-12-07,베네딕트 뢰슈,로베르트 보쉬 게엠베하,KR102335499B1,en,https://patentimages.storage.googleapis.com/e4/fa/55/a9a851c88592cf/112019070914410-pct00016.png,https://patentimages.storage.googleapis.com/7d/05/1b/0ba0db027a9c41/KR102335499B1.pdf,6.0
5,4,patent/US10176326B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS10176326B2%2Fen,Secure controller operation and malware prevention,2016-04-06,2018-06-19,2019-01-08,2019-01-08,Tal Efraim Ben David,Karamba Security,US10176326B2,en,https://patentimages.storage.googleapis.com/3e/35/78/d20a69b9202e07/US10176326-20190108-D00000.png,https://patentimages.storage.googleapis.com/34/2c/8a/a8cee5e36812af/US10176326.pdf,6.0
6,5,patent/CN111512345B/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FCN111512345B%2Fen,Electronic system for dynamically and quasi-real-time measuring and identifying …,2017-09-06,2017-10-03,2022-05-27,2022-05-27,S·邦格斯,瑞士再保险有限公司,CN111512345B,en,https://patentimages.storage.googleapis.com/ab/7c/42/c09b7b0cf716a9/HDA0002403288310000011.png,https://patentimages.storage.googleapis.com/f7/10/20/3e5aec1c40db8c/CN111512345B.pdf,6.0
7,6,patent/US11520331B2/en,https://serpapi.com/search.json?engine=google_patents_details&patent_id=patent%2FUS11520331B2%2Fen,Methods and apparatus to update autonomous vehicle perspectives,2018-12-28,2018-12-28,2022-12-06,2022-12-06,Sara Baghsorkhi,Intel Corporation,US11520331B2,en,https://patentimages.storage.googleapis.com/64/14/75/f11dcce6419d6e/US11520331-20221206-D00000.png,https://patentimages.storage.googleapis.com/77/8c/dc/7d01780bb2f0db/US11520331B2.pdf,6.0
