rank,title,publication_date,inventor,assignee,publication_number,language,thumbnail,pdf,page,entities,text_chunks
1,Vehicle middleware,2021-07-29,Christopher P. Ricci,Autoconnect Holdings Llc,US20210234767A1,en,https://patentimages.storage.googleapis.com/aa/b4/95/7aefdc31ecb92c/US20210234767A1-20210729-D00000.png,https://patentimages.storage.googleapis.com/42/1e/f1/02cf5e39df65cb/US20210234767A1.pdf,1.0,,"Vehicle middleware: This enables the middleware platform to seamlessly integrate with a wide range of electronic systems, including engine control, transmission control, infotainment, and safety systems. The middleware platform also includes a user-friendly interface that enables the driver to monitor and control various systems in the vehicle.

The vehicle middleware system further includes a diagnostic module that continuously monitors the health and status of the integrated systems"
1,Vehicle middleware,2021-07-29,Christopher P. Ricci,Autoconnect Holdings Llc,US20210234767A1,en,https://patentimages.storage.googleapis.com/aa/b4/95/7aefdc31ecb92c/US20210234767A1-20210729-D00000.png,https://patentimages.storage.googleapis.com/42/1e/f1/02cf5e39df65cb/US20210234767A1.pdf,1.0,,"Vehicle middleware: In case of any malfunction or error, the diagnostic module alerts the driver and provides detailed information for quick and efficient troubleshooting.

Advantages:
The vehicle middleware system of the present invention offers numerous advantages over existing solutions. Firstly, it provides a unified platform for seamless communication and control between different electronic systems in a vehicle. This results in improved vehicle performance, safety, and user experience"
1,Vehicle middleware,2021-07-29,Christopher P. Ricci,Autoconnect Holdings Llc,US20210234767A1,en,https://patentimages.storage.googleapis.com/aa/b4/95/7aefdc31ecb92c/US20210234767A1-20210729-D00000.png,https://patentimages.storage.googleapis.com/42/1e/f1/02cf5e39df65cb/US20210234767A1.pdf,1.0,"{""technologies"": [""middleware platform"", ""diagnostic module""], ""places"": [], ""people"": [], ""organizations"": []}","Vehicle middleware: Secondly, the modular software architecture of the middleware platform allows for easy integration with different systems, reducing the complexity and cost of wiring and hardware. Thirdly, the diagnostic module ensures timely detection and resolution of any malfunctions, resulting in reduced maintenance costs and downtime.

Conclusion:
The vehicle middleware system of the present invention is a comprehensive and efficient solution for improved communication and control in automotive vehicles"
1,Vehicle middleware,2021-07-29,Christopher P. Ricci,Autoconnect Holdings Llc,US20210234767A1,en,https://patentimages.storage.googleapis.com/aa/b4/95/7aefdc31ecb92c/US20210234767A1-20210729-D00000.png,https://patentimages.storage.googleapis.com/42/1e/f1/02cf5e39df65cb/US20210234767A1.pdf,1.0,"{""technologies"": [""vehicle middleware""], ""places"": [], ""people"": [], ""organizations"": [""automotive industry""]}","Vehicle middleware: Its ability to seamlessly integrate with multiple systems, user-friendly interface, and diagnostic capabilities make it a valuable addition to the automotive industry. The vehicle middleware system has the potential to revolutionize the way electronic systems are integrated in vehicles, providing a more efficient, cost-effective, and safe driving experience for users."
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,"{""technologies"": [], ""places"": [], ""people"": [], ""organizations"": []}","System and method for wireless interface selection and for communication and …: Title: ""System and Method for Wireless Interface Selection and Communication in Vehicles""

Abstract:
The present invention relates to a system and method for wireless interface selection and communication in vehicles"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,"{""technologies"": [], ""places"": [], ""people"": [], ""organizations"": []}","System and method for wireless interface selection and for communication and …: More specifically, the invention provides a novel approach for seamlessly switching between different wireless interfaces in a vehicle and establishing efficient communication between the vehicle and external devices.

Background:
In recent years, the automotive industry has seen a significant rise in the integration of wireless technologies in vehicles"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,"{""technologies"": [""wireless interface selection"", ""communication"", ""hands-free calling"", ""music streaming"", ""navigation systems""], ""places"": [], ""people"": [], ""organizations"": []}","System and method for wireless interface selection and for communication and …: These technologies have enabled features such as hands-free calling, music streaming, and navigation systems, providing drivers with a more convenient and safe driving experience"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,,"System and method for wireless interface selection and for communication and …: However, with the increasing number of wireless interfaces, such as Bluetooth, Wi-Fi, and cellular networks, in a vehicle, there is a need for a system and method to efficiently manage these interfaces and establish seamless communication.

Summary of the Invention:
The present invention provides a system and method for wireless interface selection and communication in vehicles"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,"{""technologies"": [""Bluetooth"", ""Wi-Fi"", ""cellular networks""], ""places"": [], ""people"": [], ""organizations"": []}","System and method for wireless interface selection and for communication and …: The system comprises a central processing unit (CPU) connected to various wireless interfaces, such as Bluetooth, Wi-Fi, and cellular networks. The CPU is also connected to a user interface, which includes a display screen and input devices, such as buttons or a touchpad.

The method begins with the detection of available wireless interfaces by the CPU. The user is then presented with a menu on the display screen, showing the available interfaces"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,"{""technologies"": [], ""places"": [], ""people"": [], ""organizations"": []}","System and method for wireless interface selection and for communication and …: The user can then select the desired interface using the input devices. The CPU then establishes a connection with the selected interface and enables communication between the vehicle and external devices, such as smartphones or other vehicles.

One of the key features of the present invention is its ability to seamlessly switch between different wireless interfaces"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,,"System and method for wireless interface selection and for communication and …: For instance, if the vehicle is connected to a Wi-Fi network for music streaming and receives an incoming call, the system will automatically switch to the Bluetooth interface for hands-free calling. This eliminates the need for manual switching and provides a more user-friendly experience.

Furthermore, the system and method of the present invention also allow for efficient communication between the vehicle and external devices"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,,"System and method for wireless interface selection and for communication and …: The CPU continuously monitors the signal strength of the selected interface and can switch to a different interface if the signal strength drops below a predetermined threshold. This ensures uninterrupted communication and avoids dropped calls or slow data transfer.

Advantages:
The system and method of the present invention provide numerous advantages in the automotive industry. Firstly, it offers a more user-friendly experience by eliminating the need for manual interface switching"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,,"System and method for wireless interface selection and for communication and …: Secondly, it ensures uninterrupted communication between the vehicle and external devices, thereby improving the overall driving experience. Moreover, the system and method are cost-effective and can be easily integrated into existing vehicles.

Conclusion:
In conclusion, the present invention provides a novel solution for managing wireless interfaces and establishing efficient communication in vehicles"
2,System and method for wireless interface selection and for communication and …,2021-04-13,Lillian Lei Dai,"Cisco Technology, Inc.",US10979875B2,en,https://patentimages.storage.googleapis.com/46/2c/7d/8b20081b45f79b/US10979875-20210413-D00000.png,https://patentimages.storage.googleapis.com/31/9c/dd/a6dead13207d15/US10979875.pdf,1.0,"{""technologies"": [], ""places"": [], ""people"": [], ""organizations"": [""automotive industry""]}","System and method for wireless interface selection and for communication and …: With its seamless interface switching and uninterrupted communication, the system and method have vast applications in the automotive industry."
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,"{""technologies"": [""electronic control units (ECUs)"", ""data networks""], ""places"": [], ""people"": [], ""organizations"": []}","Automotive ECU controller and data network having security features for …: Title: Automotive ECU controller and data network with enhanced security measures for efficient vehicle communication

Background:
The automotive industry has seen significant advancements in recent years, with the introduction of electronic control units (ECUs) and data networks for efficient vehicle communication. However, with the increasing connectivity and complexity of these systems, there is a growing concern for potential security breaches and cyber-attacks"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,"{""technologies"": [""Automotive ECU controller"", ""data network""], ""places"": [], ""people"": [], ""organizations"": []}","Automotive ECU controller and data network having security features for …: This has led to a demand for improved security measures to protect the integrity and confidentiality of data transmitted through these networks. In response to this need, we present a novel invention - the Automotive ECU controller and data network with enhanced security features.

Summary of the Invention:
Our invention is an automotive ECU controller and data network that incorporates advanced security measures to safeguard the communication between various ECUs in a vehicle"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,,"Automotive ECU controller and data network having security features for …: The system is designed to prevent unauthorized access, tampering, and data manipulation, ensuring the integrity and confidentiality of the data transmitted.

Key Features and Components:
- Secure Communication Protocol: The system utilizes a proprietary communication protocol that is resistant to hacking, eavesdropping, and other cyber threats"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,,"Automotive ECU controller and data network having security features for …: The protocol implements strong encryption algorithms and authentication mechanisms to protect the data transmitted between the ECUs.
- ECU Authentication: Each ECU in the network is assigned a unique identifier and authentication key, which are validated before allowing access to the network"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,"{""technologies"": [""ECU controller"", ""data network"", ""security features"", ""Real-time Monitoring"", ""Intrusion Detection""], ""places"": [], ""people"": [], ""organizations"": []}","Automotive ECU controller and data network having security features for …: This ensures that only authorized ECUs can communicate with each other, preventing any malicious devices from joining the network.
- Real-time Monitoring and Intrusion Detection: The controller continuously monitors the network for any suspicious activities and intrusions"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,,"Automotive ECU controller and data network having security features for …: In the event of a potential threat, the system triggers an alarm and takes appropriate measures to prevent any damage.
- Data Encryption: All data transmitted through the network is encrypted to prevent any interception or manipulation by unauthorized entities.
- Firewalls: The system is equipped with firewalls that restrict access to the network from external sources, preventing any external attacks.

Advantages:
- Enhanced Security: Our invention provides a robust and reliable security mechanism to"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,,"Automotive ECU controller and data network having security features for …: mechanism to protect the communication between ECUs, ensuring the safety and confidentiality of data transmitted.
- Real-time Monitoring: The system constantly monitors the network for any suspicious activities, enabling quick action to mitigate potential threats.
- Compatibility: Our invention is compatible with existing ECU and data network systems, making it easy to integrate into new and existing vehicles.
- Cost-effective: The components used in our invention are readily available and cost-effective,"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,,"Automotive ECU controller and data network having security features for …: and cost-effective, making it a viable solution for mass production.

Conclusion:
Our invention, the Automotive ECU controller and data network with enhanced security features, provides a comprehensive solution for securing vehicle communication and data transmission"
3,Automotive ECU controller and data network having security features for …,2019-06-11,Tal Efraim Ben David,Karamba Security Ltd.,US10320836B2,en,https://patentimages.storage.googleapis.com/50/98/c1/98ebb5b70b2dea/US10320836-20190611-D00000.png,https://patentimages.storage.googleapis.com/40/6a/97/16488405fd862b/US10320836.pdf,1.0,,"Automotive ECU controller and data network having security features for …: With this invention, we aim to address the growing concerns of cyber threats in the automotive industry, ensuring safe and efficient vehicle communication."
4,"Visual discovery tool for automotive manufacturers with network encryption, …",2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0,"{""technologies"": [], ""places"": [], ""people"": [], ""organizations"": [""automotive manufacturers""]}","Visual discovery tool for automotive manufacturers with network encryption, …: Title: Visual Discovery Tool for Automotive Manufacturers with Network Encryption

Background:
The automotive industry is constantly evolving with new technologies and advancements being introduced at a rapid pace. In order to stay competitive, automotive manufacturers require efficient tools to discover and analyze market trends, consumer preferences, and competitive landscapes. However, with the increasing use of digital platforms, there is a growing concern for data security and privacy"
4,"Visual discovery tool for automotive manufacturers with network encryption, …",2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0,"{""technologies"": [""network encryption""], ""places"": [], ""people"": [], ""organizations"": [""automotive manufacturers""]}","Visual discovery tool for automotive manufacturers with network encryption, …: Therefore, there is a need for a visual discovery tool that not only provides valuable insights but also ensures the protection of sensitive data.

Summary:
The present invention is a visual discovery tool designed specifically for automotive manufacturers to efficiently gather, analyze, and visualize market data while ensuring network encryption for secure data transmission"
4,"Visual discovery tool for automotive manufacturers with network encryption, …",2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0,,"Visual discovery tool for automotive manufacturers with network encryption, …: This tool provides an intuitive user interface, advanced analytics, and encryption protocols to enable manufacturers to make informed decisions and stay ahead in the competitive automotive market.

Description:
The visual discovery tool comprises a user interface that allows manufacturers to select, filter, and visualize data in various formats such as charts, graphs, and maps. The user-friendly interface makes it easy for manufacturers to customize their data views and perform complex analyses in real-time"
4,"Visual discovery tool for automotive manufacturers with network encryption, …",2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0,,"Visual discovery tool for automotive manufacturers with network encryption, …: The tool is also equipped with advanced analytics capabilities, including predictive modeling and machine learning algorithms, to provide deeper insights into market trends and consumer behavior.

One of the key features of this tool is its network encryption protocol. The tool utilizes state-of-the-art encryption techniques to secure the transmission of data over the network"
4,"Visual discovery tool for automotive manufacturers with network encryption, …",2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0,,"Visual discovery tool for automotive manufacturers with network encryption, …: This ensures that sensitive information such as sales figures, market strategies, and product plans are protected from unauthorized access. The tool also allows manufacturers to control access to data by providing role-based permissions, further enhancing data security.

The visual discovery tool is designed to be compatible with various data sources, including internal databases, external market data, and social media platforms"
4,"Visual discovery tool for automotive manufacturers with network encryption, …",2023-10-17,Jeffrey Stuart Cotton,"Autoalert, Llc",US11790420B2,en,https://patentimages.storage.googleapis.com/38/c4/91/67d4475baf600a/US11790420-20231017-D00000.png,https://patentimages.storage.googleapis.com/f7/48/8f/9cc74b3f4af166/US11790420.pdf,1.0,,"Visual discovery tool for automotive manufacturers with network encryption, …: It also has the capability to integrate with existing data management systems, making it a seamless addition to the manufacturer's workflow.

Advantages:
The visual discovery tool for automotive manufacturers with network encryption offers several advantages over traditional methods of data analysis and visualization. Firstly, the tool provides a comprehensive and real-time view of market trends, consumer preferences, and competitor activities"
